DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
345,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
346,modality,90.0%,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in","with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
347,modality,90.0%,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in",special anyExtendedKeyUsage OID MUST NOT be used in the request.
348,modality,90.0%,mandatory in TLS 1.3) MUST be prepared to accept a signature using,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
349,modality,90.0%,mandatory in TLS 1.3) MUST be prepared to accept a signature using,special anyExtendedKeyUsage OID MUST NOT be used in the request.
350,modality,90.0%,mandatory in TLS 1.3) MUST be prepared to accept a signature using,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
351,modality,90.0%,"match.  This extension, if provided by the server, MUST only be sent","with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
352,modality,90.0%,"match.  This extension, if provided by the server, MUST only be sent",special anyExtendedKeyUsage OID MUST NOT be used in the request.
353,modality,90.0%,"match.  This extension, if provided by the server, MUST only be sent","Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
354,modality,90.0%,"match.  This extension, if provided by the server, MUST only be sent",extension to the client.  Clients MUST NOT act upon any information
355,modality,90.0%,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client","with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
356,modality,90.0%,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client",special anyExtendedKeyUsage OID MUST NOT be used in the request.
357,modality,90.0%,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client","Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
358,modality,90.0%,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client",extension to the client.  Clients MUST NOT act upon any information
359,modality,90.0%,of the specified values MUST be present in the client certificate,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
360,modality,90.0%,of the specified values MUST be present in the client certificate,special anyExtendedKeyUsage OID MUST NOT be used in the request.
361,modality,90.0%,of the specified values MUST be present in the client certificate,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
362,modality,90.0%,of the specified values MUST be present in the client certificate,extension to the client.  Clients MUST NOT act upon any information
363,modality,90.0%,client MUST ignore and skip any unrecognized certificate extension,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
364,modality,90.0%,client MUST ignore and skip any unrecognized certificate extension,special anyExtendedKeyUsage OID MUST NOT be used in the request.
365,modality,90.0%,client MUST ignore and skip any unrecognized certificate extension,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
366,modality,90.0%,client MUST ignore and skip any unrecognized certificate extension,extension to the client.  Clients MUST NOT act upon any information
367,modality,90.0%,client MUST ignore and skip any unrecognized certificate extension,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
368,modality,90.0%,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list.",special anyExtendedKeyUsage OID MUST NOT be used in the request.
369,modality,90.0%,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list.","Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
370,modality,90.0%,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list.",extension to the client.  Clients MUST NOT act upon any information
371,modality,90.0%,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list.","HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in"
372,modality,90.0%,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list.","key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
373,modality,90.0%,special anyExtendedKeyUsage OID MUST NOT be used in the request.,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this"
374,modality,90.0%,special anyExtendedKeyUsage OID MUST NOT be used in the request.,extension to the client.  Clients MUST NOT act upon any information
375,modality,90.0%,special anyExtendedKeyUsage OID MUST NOT be used in the request.,"HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in"
376,modality,90.0%,special anyExtendedKeyUsage OID MUST NOT be used in the request.,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
377,modality,90.0%,special anyExtendedKeyUsage OID MUST NOT be used in the request.,MUST verify that (1) the selected_group field corresponds to a group
378,modality,90.0%,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this",extension to the client.  Clients MUST NOT act upon any information
379,modality,90.0%,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this","HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in"
380,modality,90.0%,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this","key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
381,modality,90.0%,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this",MUST verify that (1) the selected_group field corresponds to a group
382,modality,90.0%,"Servers MUST NOT send a post-handshake CertificateRequest to clients
which do not offer this extension.  Servers MUST NOT send this","the client MUST abort the handshake with an ""illegal_parameter""
alert.  Otherwise, when sending the new ClientHello, the client MUST"
383,modality,90.0%,extension to the client.  Clients MUST NOT act upon any information,"HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in"
384,modality,90.0%,extension to the client.  Clients MUST NOT act upon any information,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
385,modality,90.0%,extension to the client.  Clients MUST NOT act upon any information,MUST verify that (1) the selected_group field corresponds to a group
386,modality,90.0%,extension to the client.  Clients MUST NOT act upon any information,"the client MUST abort the handshake with an ""illegal_parameter""
alert.  Otherwise, when sending the new ClientHello, the client MUST"
387,modality,90.0%,extension to the client.  Clients MUST NOT act upon any information,KeyShareEntry in the ServerHello.  This value MUST be in the same
388,modality,90.0%,"HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in","key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values"
389,modality,90.0%,"HelloRetryRequest.  Each KeyShareEntry value MUST correspond to a
group offered in the ""supported_groups"" extension and MUST appear in","client's ""supported_groups"" extension and MUST NOT send a"
390,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values",MUST verify that (1) the selected_group field corresponds to a group
391,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values","the client MUST abort the handshake with an ""illegal_parameter""
alert.  Otherwise, when sending the new ClientHello, the client MUST"
392,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values",KeyShareEntry in the ServerHello.  This value MUST be in the same
393,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values","client's ""supported_groups"" extension and MUST NOT send a"
394,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values","""key_share"" extension was received by the client, the client MUST
verify that the selected NamedGroup in the ServerHello is the same as
that in the HelloRetryRequest.  If this check fails, the client MUST
abort the handshake with an ""illegal_parameter"" alert."
395,modality,90.0%,"key_exchange values for each KeyShareEntry MUST be generated
independently.  Clients MUST NOT offer multiple KeyShareEntry values
for the same group.  Clients MUST NOT offer any KeyShareEntry values","Peers MUST validate each other's public key Y by ensuring that 1 < Y
< p-1.  This check ensures that the remote peer is properly behaved"
396,modality,90.0%,MUST verify that (1) the selected_group field corresponds to a group,"client's ""supported_groups"" extension and MUST NOT send a"
397,modality,90.0%,"the client MUST abort the handshake with an ""illegal_parameter""
alert.  Otherwise, when sending the new ClientHello, the client MUST","client's ""supported_groups"" extension and MUST NOT send a"
398,modality,90.0%,KeyShareEntry in the ServerHello.  This value MUST be in the same,"client's ""supported_groups"" extension and MUST NOT send a"
399,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a","""key_share"" extension was received by the client, the client MUST
verify that the selected NamedGroup in the ServerHello is the same as
that in the HelloRetryRequest.  If this check fails, the client MUST
abort the handshake with an ""illegal_parameter"" alert."
400,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a","Peers MUST validate each other's public key Y by ensuring that 1 < Y
< p-1.  This check ensures that the remote peer is properly behaved"
401,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a","For the curves secp256r1, secp384r1, and secp521r1, peers MUST
validate each other's public value Q by ensuring that the point is a"
402,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a","In order to use PSKs, clients MUST also send a"
403,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a","A client MUST provide a ""psk_key_exchange_modes"" extension if it"
404,modality,90.0%,"client's ""supported_groups"" extension and MUST NOT send a",servers MUST abort the handshake.  Servers MUST NOT select a key
405,modality,90.0%,"""key_share"" extension was received by the client, the client MUST
verify that the selected NamedGroup in the ServerHello is the same as
that in the HelloRetryRequest.  If this check fails, the client MUST
abort the handshake with an ""illegal_parameter"" alert.",servers MUST abort the handshake.  Servers MUST NOT select a key
406,modality,90.0%,"Peers MUST validate each other's public key Y by ensuring that 1 < Y
< p-1.  This check ensures that the remote peer is properly behaved",servers MUST abort the handshake.  Servers MUST NOT select a key
407,modality,90.0%,"Peers MUST validate each other's public key Y by ensuring that 1 < Y
< p-1.  This check ensures that the remote peer is properly behaved","The server MUST NOT send a ""psk_key_exchange_modes"" extension."
408,modality,90.0%,"For the curves secp256r1, secp384r1, and secp521r1, peers MUST
validate each other's public value Q by ensuring that the point is a",servers MUST abort the handshake.  Servers MUST NOT select a key
409,modality,90.0%,"For the curves secp256r1, secp384r1, and secp521r1, peers MUST
validate each other's public value Q by ensuring that the point is a","The server MUST NOT send a ""psk_key_exchange_modes"" extension."
410,modality,90.0%,"In order to use PSKs, clients MUST also send a",servers MUST abort the handshake.  Servers MUST NOT select a key
411,modality,90.0%,"In order to use PSKs, clients MUST also send a","The server MUST NOT send a ""psk_key_exchange_modes"" extension."
412,modality,90.0%,"A client MUST provide a ""psk_key_exchange_modes"" extension if it",servers MUST abort the handshake.  Servers MUST NOT select a key
413,modality,90.0%,"A client MUST provide a ""psk_key_exchange_modes"" extension if it","The server MUST NOT send a ""psk_key_exchange_modes"" extension."
414,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,"The server MUST NOT send a ""psk_key_exchange_modes"" extension."
415,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,Any future values that are allocated must ensure that the transmitted
416,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,"client opts to do so, it MUST supply both the ""pre_shared_key"" and"
417,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,early data MUST be the first PSK listed in the client's
418,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,"For PSKs provisioned via NewSessionTicket, a server MUST validate"
419,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,"A server which receives an ""early_data"" extension MUST behave in one"
420,modality,90.0%,servers MUST abort the handshake.  Servers MUST NOT select a key,with a HelloRetryRequest.  A client MUST NOT include the
421,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.",Any future values that are allocated must ensure that the transmitted
422,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","client opts to do so, it MUST supply both the ""pre_shared_key"" and"
423,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.",early data MUST be the first PSK listed in the client's
424,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","For PSKs provisioned via NewSessionTicket, a server MUST validate"
425,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","A server which receives an ""early_data"" extension MUST behave in one"
426,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.",with a HelloRetryRequest.  A client MUST NOT include the
427,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","In order to accept early data, the server MUST have accepted a PSK"
428,modality,90.0%,"The server MUST NOT send a ""psk_key_exchange_modes"" extension.","""pre_shared_key"" extension.  In addition, it MUST verify that the"
429,modality,90.0%,Any future values that are allocated must ensure that the transmitted,with a HelloRetryRequest.  A client MUST NOT include the
430,modality,90.0%,Any future values that are allocated must ensure that the transmitted,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
431,modality,90.0%,"client opts to do so, it MUST supply both the ""pre_shared_key"" and",with a HelloRetryRequest.  A client MUST NOT include the
432,modality,90.0%,"client opts to do so, it MUST supply both the ""pre_shared_key"" and","If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
433,modality,90.0%,early data MUST be the first PSK listed in the client's,with a HelloRetryRequest.  A client MUST NOT include the
434,modality,90.0%,early data MUST be the first PSK listed in the client's,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
435,modality,90.0%,"For PSKs provisioned via NewSessionTicket, a server MUST validate",with a HelloRetryRequest.  A client MUST NOT include the
436,modality,90.0%,"For PSKs provisioned via NewSessionTicket, a server MUST validate","If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
437,modality,90.0%,"A server which receives an ""early_data"" extension MUST behave in one",with a HelloRetryRequest.  A client MUST NOT include the
438,modality,90.0%,"A server which receives an ""early_data"" extension MUST behave in one","If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
439,modality,90.0%,"A server which receives an ""early_data"" extension MUST behave in one",is appropriate.  A TLS implementation MUST NOT automatically resend
440,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"In order to accept early data, the server MUST have accepted a PSK"
441,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"""pre_shared_key"" extension.  In addition, it MUST verify that the"
442,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
443,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"rejects it, the server will generally not have the 0-RTT record
protection keys and must instead use trial decryption (either with"
444,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,MUST comply with the same error-handling requirements specified for
445,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"""early_data"" extension, it MUST terminate the connection with a"
446,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,is appropriate.  A TLS implementation MUST NOT automatically resend
447,modality,90.0%,with a HelloRetryRequest.  A client MUST NOT include the,"For externally established PSKs, the Hash algorithm MUST be set when"
448,modality,90.0%,"In order to accept early data, the server MUST have accepted a PSK","If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
449,modality,90.0%,"In order to accept early data, the server MUST have accepted a PSK",is appropriate.  A TLS implementation MUST NOT automatically resend
450,modality,90.0%,"""pre_shared_key"" extension.  In addition, it MUST verify that the","If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the"
451,modality,90.0%,"""pre_shared_key"" extension.  In addition, it MUST verify that the",is appropriate.  A TLS implementation MUST NOT automatically resend
452,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the","rejects it, the server will generally not have the 0-RTT record
protection keys and must instead use trial decryption (either with"
453,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the",MUST comply with the same error-handling requirements specified for
454,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the","""early_data"" extension, it MUST terminate the connection with a"
455,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the",is appropriate.  A TLS implementation MUST NOT automatically resend
456,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the","For externally established PSKs, the Hash algorithm MUST be set when"
457,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the","Prior to accepting PSK key establishment, the server MUST validate"
458,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the","value is not present or does not validate, the server MUST abort the"
459,modality,90.0%,"If any of these checks fail, the server MUST NOT respond with the
extension and must discard all the first-flight data using one of the",Clients MUST verify that the server's selected_identity is within the
460,modality,90.0%,"rejects it, the server will generally not have the 0-RTT record
protection keys and must instead use trial decryption (either with",is appropriate.  A TLS implementation MUST NOT automatically resend
461,modality,90.0%,MUST comply with the same error-handling requirements specified for,is appropriate.  A TLS implementation MUST NOT automatically resend
462,modality,90.0%,"""early_data"" extension, it MUST terminate the connection with a",is appropriate.  A TLS implementation MUST NOT automatically resend
463,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"For externally established PSKs, the Hash algorithm MUST be set when"
464,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"Prior to accepting PSK key establishment, the server MUST validate"
465,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"value is not present or does not validate, the server MUST abort the"
466,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,Clients MUST verify that the server's selected_identity is within the
467,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"consistent, the client MUST abort the handshake with an"
468,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"If the server supplies an ""early_data"" extension, the client MUST
verify that the server's selected_identity is 0.  If any other value
is returned, the client MUST abort the handshake with an"
469,modality,90.0%,is appropriate.  A TLS implementation MUST NOT automatically resend,"The ""pre_shared_key"" extension MUST be the last extension in the"
470,modality,90.0%,"Prior to accepting PSK key establishment, the server MUST validate","receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
471,modality,90.0%,"value is not present or does not validate, the server MUST abort the","receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
472,modality,90.0%,Clients MUST verify that the server's selected_identity is within the,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
473,modality,90.0%,"consistent, the client MUST abort the handshake with an","receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
474,modality,90.0%,"If the server supplies an ""early_data"" extension, the client MUST
verify that the server's selected_identity is 0.  If any other value
is returned, the client MUST abort the handshake with an","receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
475,modality,90.0%,"The ""pre_shared_key"" extension MUST be the last extension in the","receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
476,modality,90.0%,Servers MUST check that it is the last extension and otherwise fail,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value"
477,modality,90.0%,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value","when accepting ""early_data"", servers MUST process the client's"
478,modality,90.0%,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value","In all handshakes, the server MUST send the EncryptedExtensions"
479,modality,90.0%,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value","certificates.  The client MUST check EncryptedExtensions for the
presence of any forbidden extensions and if any are found MUST abort"
480,modality,90.0%,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value","request a certificate from the client.  This message, if sent, MUST
follow EncryptedExtensions."
481,modality,90.0%,"receipt of the NewSessionTicket message.  Clients MUST NOT attempt to
use tickets which have ages greater than the ""ticket_lifetime"" value","MUST be specified, and other extensions may optionally be included"
482,modality,90.0%,"when accepting ""early_data"", servers MUST process the client's",Servers which are authenticating with a PSK MUST NOT send the
483,modality,90.0%,"In all handshakes, the server MUST send the EncryptedExtensions",Servers which are authenticating with a PSK MUST NOT send the
484,modality,90.0%,"certificates.  The client MUST check EncryptedExtensions for the
presence of any forbidden extensions and if any are found MUST abort",Servers which are authenticating with a PSK MUST NOT send the
485,modality,90.0%,"request a certificate from the client.  This message, if sent, MUST
follow EncryptedExtensions.",Servers which are authenticating with a PSK MUST NOT send the
486,modality,90.0%,"MUST be specified, and other extensions may optionally be included",Servers which are authenticating with a PSK MUST NOT send the
487,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,The server MUST send a Certificate message whenever the agreed-upon
488,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,The client MUST send a Certificate message if and only if the server
489,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,"suitable certificate is available, the client MUST send a Certificate"
490,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,field having length 0).  A Finished message MUST be sent regardless
491,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
492,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,certificate.  The sender's certificate MUST come in the first
493,modality,90.0%,Servers which are authenticating with a PSK MUST NOT send the,"certificate_list MUST contain no more than one CertificateEntry,"
494,modality,90.0%,The server MUST send a Certificate message whenever the agreed-upon,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
495,modality,90.0%,The client MUST send a Certificate message if and only if the server,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
496,modality,90.0%,"suitable certificate is available, the client MUST send a Certificate",The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
497,modality,90.0%,"suitable certificate is available, the client MUST send a Certificate","TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
498,modality,90.0%,field having length 0).  A Finished message MUST be sent regardless,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
499,modality,90.0%,field having length 0).  A Finished message MUST be sent regardless,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
500,modality,90.0%,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to",The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
501,modality,90.0%,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to","TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
502,modality,90.0%,certificate.  The sender's certificate MUST come in the first,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
503,modality,90.0%,certificate.  The sender's certificate MUST come in the first,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
504,modality,90.0%,"certificate_list MUST contain no more than one CertificateEntry,",The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.
505,modality,90.0%,"certificate_list MUST contain no more than one CertificateEntry,","TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
506,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"The server's certificate_list MUST always be non-empty.  A client
will send an empty certificate_list if it does not have an"
507,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"""status_request"" extension from the server MUST be a"
508,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
509,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"CertificateRequest, or Certificate messages.  TLS 1.3 servers MUST be"
510,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"response, the body of its ""status_request"" extension MUST be a"
511,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly"
512,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,restrictions) MUST be compatible with the selected authentication
513,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,"-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is"
514,modality,90.0%,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,All certificates provided by the server MUST be signed by a signature
515,modality,90.0%,"The server's certificate_list MUST always be non-empty.  A client
will send an empty certificate_list if it does not have an","TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
516,modality,90.0%,"The server's certificate_list MUST always be non-empty.  A client
will send an empty certificate_list if it does not have an","permits it, and MUST NOT do so otherwise."
